DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0058,44811,885,2,,F,GSI,AD,Unassigned,SFCLWR,,Snake,SFCLWR,0.999955301,Large,9,NA,NA
OmyZON623S_0059,44811,870,2,,M,GSI,AD,Unassigned,SFCLWR,,Snake,SFCLWR,0.999935785,Large,9,NA,NA
OmyZON623S_0060,44811,870,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.998347635,Large,9,OmyDWOR19S_0118,OmyDWOR19S_0018
OmyZON623S_0117,44811,755,2,,F,PBT,AD,2019-CLWH-SFCR-RedHouse-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.988014886,Small,9,OmyDWOR19S_0845,OmyDWOR19S_0934
OmyZON623S_0118,44811,600,2,,M,PBT,AD,2020-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,Oxbow,2020,Snake,UPSALM,0.996566925,Small,9,OmyOXBO20S_0105,OmyOXBO20S_0405
OmyZON623S_0119,44811,675,2,,F,PBT,AD,2019-NIAG-OXBO-LittleSalmonR-AdClip,Oxbow,2019,Snake,UPSALM,0.944342398,Small,9,OmyOXBO19S_0028,OmyOXBO19S_0328
OmyZON623S_0121,44811,695,2,,F,GSI,AD,Unassigned,MGILCS,,MGILCS,MGILCS,0.939762219,Small,9,NA,NA
OmyZON623S_0122,44811,670,2,,M,PBT,AD,2019-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,Oxbow,2019,Snake,UPSALM,0.986676341,Small,9,OmyOXBO19S_0126,OmyOXBO19S_0426
OmyZON623S_0165,44811,730,2,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.915835882,Small,9,OmyWellsPBT19-0162,OmyWellsPBT19-0223
OmyZON623S_0166,44811,850,2,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999972433,Large,9,OmyDWOR19S_0740,OmyDWOR19S_0484
OmyZON623S_0167,44811,850,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999529537,Large,9,OmyDWOR19S_0534,OmyDWOR19S_0299
OmyZON623S_0170,44811,780,2,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999999881,Large,9,OmyDWOR19S_1043,OmyDWOR19S_1240
OmyZON623S_0171,44811,865,2,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.993200698,Large,9,OmyDWOR19S_0307,OmyDWOR19S_0070
OmyZON623S_0174,44811,885,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.773393074,Large,9,OmyDWOR19S_0311,OmyDWOR19S_0078
